year,player,games_played,mpg,true_shot,per,value_added,wins_added
2024,Jake LaRavia,66,20.4,0.591,12.65,37.2,1.2
2024,Max Strus,50,25.5,0.607,12.61,0,0
2024,Miles McBride,64,24.9,0.531,12.61,0,0
2024,Olivier-Maxence Prosper,52,11.2,0.484,12.61,15.7,0.5
2024,Scoot Henderson,66,26.7,0.54,12.57,46.6,1.6
2024,Toumani Camara,78,32.7,0.572,12.56,66.9,2.2
2024,Matas Buzelis,80,18.9,0.571,12.5,38.3,1.3
2024,Marcus Smart,34,20,0.529,12.44,0,0
2024,Ben Simmons,51,22,0.539,12.44,0,0
2024,Moses Moody,74,22.3,0.578,12.4,0,0
2024,Draymond Green,68,29.2,0.534,12.39,0,0
2024,Trey Lyles,69,19.6,0.551,12.35,0,0
2024,Buddy Hield,82,22.7,0.56,12.32,0,0
2024,Jae'Sean Tate,52,11.3,0.557,12.32,0,0
2024,Bismack Biyombo,28,18.8,0.576,12.3,13.4,0.4
2024,Cason Wallace,68,27.6,0.562,12.29,41.8,1.4
2024,Zaccharie Risacher,75,24.6,0.558,12.29,21.8,0.7
2024,Aaron Holiday,62,12.8,0.594,12.26,0,0
2024,Julian Champagnie,82,23.6,0.577,12.25,41.7,1.4
2024,Seth Curry,68,15.6,0.616,12.21,0,0
2024,Lonzo Ball,35,22.2,0.524,12.2,0,0
2024,Pat Connaughton,41,14.7,0.567,12.18,0,0
2024,Daniel Theis,38,16.3,0.558,12.12,14.1,0.5
2024,John Konchar,46,12.1,0.592,12.09,0,0
2024,Jordan Goodwin,29,18.7,0.541,12.08,0,0
2024,Terance Mann,67,21.1,0.584,12.07,0,0
2024,Ajay Mitchell,36,16.6,0.587,12.07,11.3,0.4
2024,Jaylen Clark,40,13.1,0.598,12.03,9.6,0.3
2024,Zeke Nnaji,57,10.7,0.574,12.03,0,0
2024,Keegan Murray,76,34.3,0.553,12.02,0,0
2024,Ochai Agbaji,64,27.2,0.601,12,31.1,1
2024,Jarace Walker,75,15.8,0.59,11.99,21,0.7
2024,Jonathan Mogbo,63,20.4,0.496,11.94,22,0.7
2024,Ziaire Williams,63,24.5,0.55,11.94,0,0
2024,Shake Milton,57,14.7,0.563,11.9,0,0
2024,Johnny Juzang,64,19.8,0.573,11.87,20.3,0.7
2024,Duncan Robinson,74,24.1,0.595,11.86,0,0
2024,Gary Trent Jr.,74,25.6,0.591,11.76,0,0
2024,Antonio Reeves,44,15,0.579,11.75,9.4,0.3
